datetime,request_count
7/3/1995 8:35,348
7/3/1995 8:40,281
7/3/1995 8:45,298
7/3/1995 8:50,367
7/3/1995 8:55,382
7/3/1995 9:00,346
7/3/1995 9:05,365
7/3/1995 9:10,343
7/3/1995 9:15,255
7/3/1995 9:20,368
7/3/1995 9:25,405
7/3/1995 9:30,483
7/3/1995 9:35,503
7/3/1995 9:40,369
7/3/1995 9:45,507
7/3/1995 9:50,454
7/3/1995 9:55,412
7/3/1995 10:00,323
7/3/1995 10:05,300
7/3/1995 10:10,412
7/3/1995 10:15,458
7/3/1995 10:20,484
7/3/1995 10:25,382
7/3/1995 10:30,352
7/3/1995 10:35,374
7/3/1995 10:40,237
7/3/1995 10:45,366
7/3/1995 10:50,416
7/3/1995 10:55,425
7/3/1995 11:00,390
7/3/1995 11:05,427
7/3/1995 11:10,400
7/3/1995 11:15,505
7/3/1995 11:20,414
7/3/1995 11:25,370
7/3/1995 11:30,415
7/3/1995 11:35,442
7/3/1995 11:40,313
7/3/1995 11:45,356
7/3/1995 11:50,335
7/3/1995 11:55,424
7/3/1995 12:00,366
7/3/1995 12:05,419
7/3/1995 12:10,335
7/3/1995 12:15,428
7/3/1995 12:20,481
7/3/1995 12:25,515
7/3/1995 12:30,516
7/3/1995 12:35,434
7/3/1995 12:40,418
7/3/1995 12:45,436
7/3/1995 12:50,574
7/3/1995 12:55,613
7/3/1995 13:00,537
7/3/1995 13:05,465
7/3/1995 13:10,443
7/3/1995 13:15,441
7/3/1995 13:20,467
7/3/1995 13:25,534
7/3/1995 13:30,468
7/3/1995 13:35,577
7/3/1995 13:40,481
7/3/1995 13:45,525
7/3/1995 13:50,506
7/3/1995 13:55,576
7/3/1995 14:00,511
7/3/1995 14:05,468
7/3/1995 14:10,533
7/3/1995 14:15,510
7/3/1995 14:20,609
7/3/1995 14:25,430
7/3/1995 14:30,362
7/3/1995 14:35,374
7/3/1995 14:40,291
7/3/1995 14:45,416
7/3/1995 14:50,393
7/3/1995 14:55,618
7/3/1995 15:00,519
7/3/1995 15:05,534
7/3/1995 15:10,322
7/3/1995 15:15,440
7/3/1995 15:20,401
7/3/1995 15:25,370
7/3/1995 15:30,358
7/3/1995 15:35,544
7/3/1995 15:40,480
7/3/1995 15:45,663
7/3/1995 15:50,475
7/3/1995 15:55,504
7/3/1995 16:00,456
7/3/1995 16:05,424
7/3/1995 16:10,391
7/3/1995 16:15,517
7/4/1995 8:00,200
7/4/1995 8:05,227
7/4/1995 8:10,248
7/4/1995 8:15,313
7/4/1995 8:20,293
7/4/1995 8:25,270
7/4/1995 8:30,203
7/4/1995 8:35,233
7/4/1995 8:40,195
7/4/1995 8:45,253
7/4/1995 8:50,266
7/4/1995 8:55,305
7/4/1995 9:00,277
