date_time,request_count
20210415-13,2243361.0
20210415-14,2394623.0
20210415-15,2480333.0
20210415-16,2502058.0
20210415-17,2486637.0
20210415-18,2490361.0
20210415-19,2499864.0
20210415-20,2477301.0
20210415-21,2449570.0
20210415-22,2355459.0
20210415-23,2227954.0
20210416-00,2127999.0
20210416-01,2102302.0
20210416-02,2134569.0
20210416-03,2134840.0
20210416-04,2062687.0
20210416-05,1939443.0
20210416-06,1909084.0
20210416-07,1918657.0
20210416-08,1910095.0
20210416-09,1933374.0
20210416-10,1936481.0
20210416-11,1960286.0
20210416-12,2061125.0
20210416-13,2223619.0
20210416-14,2365260.0
20210416-15,2425114.0
20210416-16,2436954.0
20210416-17,2450734.0
20210416-18,2480520.0
20210416-19,2479797.0
20210416-20,2428977.0
20210416-21,2393390.0
20210416-22,2313809.0
20210416-23,2184030.0
20210417-00,2070601.0
20210417-01,2004959.0
20210417-02,2014437.0
20210417-03,2014360.0
20210417-04,1978580.0
20210417-05,1912670.0
20210417-06,1864986.0
20210417-07,1846806.0
20210417-08,1826228.0
20210417-09,1817164.0
20210417-10,1841209.0
20210417-11,1883800.0
20210417-12,1960979.0
20210417-13,2049610.0
20210417-14,2126252.0
20210417-15,2242073.0
20210417-16,2309008.0
20210417-17,2326052.0
20210417-18,2339251.0
20210417-19,2341516.0
20210417-20,2355163.0
20210417-21,2378102.0
20210417-22,2322540.0
20210417-23,2233011.0
20210418-00,2128426.0
20210418-01,2072338.0
20210418-02,2067375.0
20210418-03,2064303.0
20210418-04,2021010.0
20210418-05,1948286.0
20210418-06,1890593.0
20210418-07,1877342.0
20210418-08,1883387.0
20210418-09,1906240.0
20210418-10,1926932.0
20210418-11,1951378.0
20210418-12,2042355.0
20210418-13,2161576.0
20210418-14,2252669.0
20210418-15,2336926.0
20210418-16,2415784.0
20210418-17,2450691.0
20210418-18,2437408.0
20210418-19,2443950.0
20210418-20,2451909.0
20210418-21,2442648.0
20210418-22,2382903.0
20210418-23,2248360.0
20210419-00,2151917.0
20210419-01,2136112.0
20210419-02,2181146.0
20210419-03,2182781.0
20210419-04,2117535.0
20210419-05,2035788.0
20210419-06,1970414.0
20210419-07,1966819.0
20210419-08,1949101.0
20210419-09,1948498.0
20210419-10,1962486.0
20210419-11,1997877.0
20210419-12,2095259.0
20210419-13,2242454.0
20210419-14,2413472.0
20210419-15,2486358.0
20210419-16,2511853.0
20210419-17,2501818.0
20210419-18,2504802.0
20210419-19,2511132.0
20210419-20,2502539.0
20210419-21,2477831.0
20210419-22,2352100.0
20210419-23,2208640.0
20210420-00,2113865.0
20210420-01,2090335.0
20210420-02,2132502.0
20210420-03,2131708.0
20210420-04,2072242.0
20210420-05,1996640.0
20210420-06,1933302.0
20210420-07,1945842.0
20210420-08,1939010.0
20210420-09,1947622.0
20210420-10,1968991.0
20210420-11,1992773.0
20210420-12,2094538.0
20210420-13,2265965.0
20210420-14,2413377.0
20210420-15,2488356.0
20210420-16,2501879.0
20210420-17,2496730.0
20210420-18,2501120.0
20210420-19,2499700.0
20210420-20,2478864.0
20210420-21,2431585.0
20210420-22,2258735.0
20210420-23,2160561.0
20210421-00,2072367.0
20210421-01,2067255.0
20210421-02,2120814.0
20210421-03,2132786.0
20210421-04,2068525.0
20210421-05,1980571.0
20210421-06,1913013.0
20210421-07,1936960.0
20210421-08,1928850.0
20210421-09,1940122.0
20210421-10,1963435.0
20210421-11,1994982.0
20210421-12,2108991.0
20210421-13,2258888.0
20210421-14,2393430.0
20210421-15,2479884.0
20210421-16,2511061.0
20210421-17,2525155.0
20210421-18,2553135.0
20210421-19,2554197.0
20210421-20,2517838.0
20210421-21,2493590.0
20210421-22,2391382.0
20210421-23,2236195.0
20210422-00,2127634.0
20210422-01,2095738.0
20210422-02,2139496.0
20210422-03,2171025.0
20210422-04,2136786.0
20210422-05,2076393.0
20210422-06,1990698.0
20210422-07,1996371.0
20210422-08,1995124.0
20210422-09,2023125.0
20210422-10,2036644.0
20210422-11,2072000.0
20210422-12,2155741.0
20210422-13,2305112.0
20210422-14,2462411.0
20210422-15,2520611.0
20210422-16,2546360.0
20210422-17,2533755.0
20210422-18,2515289.0
20210422-19,2524450.0
20210422-20,2529894.0
20210422-21,2492095.0
